STOP_ID,STOP_FRISK_TIME,YEAR,MONTH,DAY,STOP_WAS_INITIATED,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,FIREARM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME
7327,23:35:00,2020,September,Monday,Based on Self Initiated,0,CPW,2,Y,(null),N,Y,CPW,N,(null),N,Y,N,N,Y,Y,,21,MALE,BLACK,6.4,180,MED,BRO,BRO,11233,BROOKLYN
7328,10:17:00,2020,September,Tuesday,Based on Radio Run,1,OTHER,24,Y,(null),N,Y,OTHER,N,(null),Y,Y,N,N,(null),N,AGITATED,39,MALE,BLACK,5.7,175,MED,BRO,BLK,11429,QUEENS
7329,23:13:00,2020,September,Thursday,Based on Radio Run,1,ASSAULT,5,N,PERP W,N,Y,ASSAULT,N,(null),N,Y,N,N,(null),N,CALM,31,MALE,WHITE HISPANIC,5.7,160,MED,BRO,BLK,11368,QUEENS
7330,3:57:00,2020,September,Sunday,Based on Radio Run,1,BURGLARY,15,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,ANNOYED,21,MALE,BLACK,5.7,140,THN,BRO,BLK,11235,BROOKLYN
7331,0:00:00,2020,September,Monday,Based on C/W on Scene,2,ROBBERY,5,Y,(null),N,N,(null),N,(null),Y,Y,Y,Y,(null),N,NERVOUS,28,MALE,BLACK,6,150,THN,BRO,BLK,10004,MANHATTAN
7332,13:23:00,2020,September,Wednesday,Based on Radio Run,1,PETIT LARCENY,10,Y,(null),N,Y,PETIT LARCENY,N,(null),N,Y,N,N,(null),N,CALM,42,MALE,BLACK HISPANIC,5.7,160,THN,BRO,GRY,10036,MANHATTAN
7333,13:45:00,2020,September,Monday,Based on Radio Run,1,MENACING,20,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,NORMAL,40,MALE,WHITE HISPANIC,5.5,210,HEA,BRO,BLK,10029,MANHATTAN
7334,20:18:00,2020,September,Saturday,Based on Self Initiated,0,CPW,2,Y,(null),N,N,(null),N,(null),Y,Y,(,(,Y,Y,, ,(null),(null), , ,(null),(null),(nu,10040,MANHATTAN
7335,11:00:00,2020,September,Monday,Based on Radio Run,1,ROBBERY,10,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,CALM, ,MALE,BLACK,5.9,165,MED,BRO,BLK,11218,BROOKLYN
7336,11:10:00,2020,September,Monday,Based on Radio Run,1,PETIT LARCENY,10,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,Y,N,N,(null),N,CALM,42,MALE,ASIAN / PACIFIC ISLANDER,5.1,140,THN,BRO,BLK,11226,BROOKLYN
7337,1:15:00,2020,September,Tuesday,Based on Radio Run,3,GRAND LARCENY,20,Y,(null),N,N,(null),Y,OTHER,N,N,N,N,(null),N,ANGRY,36,MALE,BLACK HISPANIC,5.11,145,THN,BRO,BLK,11201,BROOKLYN
7338,11:26:00,2020,September,Wednesday,Based on Radio Run,1,ROBBERY,16,Y,(null),N,N,(null),N,(null),Y,Y,Y,Y,(null),N,FRUSTRATED, ,MALE,WHITE,5.1, ,THN,(null),RED,(null),BROOKLYN
7339,14:21:00,2020,June,Tuesday,Based on Radio Run,1,GRAND LARCENY AUTO,7,Y,(null),Y,Y,GRAND LARCENY AUTO,N,(null),N,Y,(,(,(null),N,PANTING AND SWEATING,25,MALE,BLACK, , ,THN,BRO,BLK,11413,QUEENS
7340,14:21:00,2020,June,Tuesday,Based on Radio Run,1,GRAND LARCENY AUTO,7,Y,(null),Y,Y,GRAND LARCENY AUTO,N,(null),N,Y,N,N,(null),N,PANTING AND SWEATING, ,MALE,BLACK, , ,THN,BRO,BLK,11413,QUEENS
7341,12:06:00,2020,September,Friday,Based on Radio Run,1,ASSAULT,8,Y,(null),N,N,(null),N,(null),N,N,N,N,(null),N,ERRATIC AND UNRULLY,55,MALE,BLACK HISPANIC,5.4,150,THN,BRO,XXX,(null),MANHATTAN
7342,22:13:00,2020,September,Thursday,Based on Radio Run,3,ASSAULT,5,Y,(null),N,N,(null),N,(null),Y,N,N,N,(null),N,UNCOOPERATIVE,50,MALE,BLACK,5.7,190,THN,BRO,BLK,10029,MANHATTAN
7343,0:00:00,2020,September,Sunday,Based on Radio Run,1,CPW,3,Y,(null),N,N,(null),N,(null),Y,N,N,(,(null),N,AGITATED,29,MALE,WHITE HISPANIC,6.1,180,MED,BRO,BLK,10459,BRONX
